Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 14047ms | tok/sec: 18,662 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867334 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,708 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486181 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,312 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034194 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,269 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655192 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,657 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322756 | lrm: 1.00 | dt: 162ms | tok/sec: 1,615,344 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069869 | lrm: 1.00 | dt: 204ms | tok/sec: 1,282,576 | mfu: 31.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865021 | lrm: 1.00 | dt: 248ms | tok/sec: 1,056,587 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690664 | lrm: 1.00 | dt: 209ms | tok/sec: 1,254,279 | mfu: 30.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542489 | lrm: 1.00 | dt: 222ms | tok/sec: 1,180,678 | mfu: 28.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419349 | lrm: 1.00 | dt: 203ms | tok/sec: 1,288,591 | mfu: 31.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310441 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,846 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212915 | lrm: 1.00 | dt: 190ms | tok/sec: 1,381,822 | mfu: 33.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130887 | lrm: 1.00 | dt: 181ms | tok/sec: 1,447,384 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.058151 | lrm: 1.00 | dt: 169ms | tok/sec: 1,549,356 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991153 | lrm: 1.00 | dt: 225ms | tok/sec: 1,165,997 | mfu: 28.2% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931976 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,310 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.874968 | lrm: 1.00 | dt: 188ms | tok/sec: 1,396,501 | mfu: 33.7% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824904 | lrm: 1.00 | dt: 178ms | tok/sec: 1,476,573 | mfu: 35.7% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.777758 | lrm: 1.00 | dt: 207ms | tok/sec: 1,268,701 | mfu: 30.7% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.733407 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,286 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.693323 | lrm: 1.00 | dt: 185ms | tok/sec: 1,413,373 | mfu: 34.1% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.658359 | lrm: 1.00 | dt: 168ms | tok/sec: 1,562,148 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624387 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,522 | mfu: 32.6% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.592719 | lrm: 1.00 | dt: 162ms | tok/sec: 1,618,413 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00025 (0.8%) | loss: 5.560628 | lrm: 1.00 | dt: 165ms | tok/sec: 1,584,863 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.529626 | lrm: 1.00 | dt: 178ms | tok/sec: 1,472,514 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.499459 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,158 | mfu: 32.7% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.473001 | lrm: 1.00 | dt: 171ms | tok/sec: 1,528,891 | mfu: 36.9% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.446392 | lrm: 1.00 | dt: 186ms | tok/sec: 1,409,874 | mfu: 34.1% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.416657 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,526 | mfu: 37.5% | epoch: 1 | remaining: 296s    
step 00031 (1.2%) | loss: 5.390423 | lrm: 1.00 | dt: 185ms | tok/sec: 1,419,189 | mfu: 34.3% | epoch: 1 | remaining: 296s    
step 00032 (1.3%) | loss: 5.365307 | lrm: 1.00 | dt: 159ms | tok/sec: 1,643,969 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00033 (1.3%) | loss: 5.340609 | lrm: 1.00 | dt: 176ms | tok/sec: 1,491,617 | mfu: 36.0% | epoch: 1 | remaining: 296s    
step 00034 (1.4%) | loss: 5.314837 | lrm: 1.00 | dt: 173ms | tok/sec: 1,514,624 | mfu: 36.6% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.288063 | lrm: 1.00 | dt: 176ms | tok/sec: 1,491,959 | mfu: 36.0% | epoch: 1 | remaining: 296s    
step 00036 (1.5%) | loss: 5.261858 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,635 | mfu: 32.7% | epoch: 1 | remaining: 295s    
step 00037 (1.6%) | loss: 5.236727 | lrm: 1.00 | dt: 168ms | tok/sec: 1,562,050 | mfu: 37.7% | epoch: 1 | remaining: 295s    
step 00038 (1.6%) | loss: 5.210172 | lrm: 1.00 | dt: 189ms | tok/sec: 1,385,108 | mfu: 33.5% | epoch: 1 | remaining: 295s    
step 00039 (1.7%) | loss: 5.184512 | lrm: 1.00 | dt: 168ms | tok/sec: 1,563,349 | mfu: 37.8% | epoch: 1 | remaining: 295s    
