Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13646ms | tok/sec: 38,420 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,169 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,386 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971716 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,695 | mfu: 30.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578752 | lrm: 1.00 | dt: 418ms | tok/sec: 1,253,566 | mfu: 30.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248840 | lrm: 1.00 | dt: 357ms | tok/sec: 1,468,249 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998070 | lrm: 1.00 | dt: 355ms | tok/sec: 1,475,425 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787071 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,178 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606988 | lrm: 1.00 | dt: 351ms | tok/sec: 1,494,166 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455151 | lrm: 1.00 | dt: 346ms | tok/sec: 1,517,122 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325388 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,410 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217091 | lrm: 1.00 | dt: 354ms | tok/sec: 1,479,231 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120730 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,376 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034882 | lrm: 1.00 | dt: 352ms | tok/sec: 1,487,718 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962752 | lrm: 1.00 | dt: 357ms | tok/sec: 1,467,567 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.898193 | lrm: 1.00 | dt: 369ms | tok/sec: 1,419,744 | mfu: 34.3% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842070 | lrm: 1.00 | dt: 355ms | tok/sec: 1,476,524 | mfu: 35.7% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787563 | lrm: 1.00 | dt: 372ms | tok/sec: 1,410,882 | mfu: 34.1% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738590 | lrm: 1.00 | dt: 373ms | tok/sec: 1,405,490 | mfu: 34.0% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.693033 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,464 | mfu: 30.6% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.650680 | lrm: 1.00 | dt: 437ms | tok/sec: 1,198,688 | mfu: 29.0% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | loss: 5.610149 | lrm: 1.00 | dt: 389ms | tok/sec: 1,349,342 | mfu: 32.6% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.574223 | lrm: 1.00 | dt: 394ms | tok/sec: 1,331,261 | mfu: 32.2% | epoch: 1 | remaining: 296s    
step 00023 (1.5%) | loss: 5.536692 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,664 | mfu: 30.9% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 5.500750 | lrm: 1.00 | dt: 403ms | tok/sec: 1,300,576 | mfu: 31.4% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 5.467953 | lrm: 1.00 | dt: 346ms | tok/sec: 1,513,257 | mfu: 36.6% | epoch: 1 | remaining: 294s    
step 00026 (1.9%) | loss: 5.436898 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,789 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00027 (2.0%) | loss: 5.406495 | lrm: 1.00 | dt: 372ms | tok/sec: 1,408,943 | mfu: 34.0% | epoch: 1 | remaining: 294s    
step 00028 (2.1%) | loss: 5.378397 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,189 | mfu: 39.5% | epoch: 1 | remaining: 293s    
