Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 26581ms | tok/sec: 9,862 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867333 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,033 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486182 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,176 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034195 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,922 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655216 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,934 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322774 | lrm: 1.00 | dt: 170ms | tok/sec: 1,541,994 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069892 | lrm: 1.00 | dt: 206ms | tok/sec: 1,271,711 | mfu: 30.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865043 | lrm: 1.00 | dt: 193ms | tok/sec: 1,356,621 | mfu: 32.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690683 | lrm: 1.00 | dt: 201ms | tok/sec: 1,301,275 | mfu: 31.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542507 | lrm: 1.00 | dt: 200ms | tok/sec: 1,310,204 | mfu: 31.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419364 | lrm: 1.00 | dt: 177ms | tok/sec: 1,479,970 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310454 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,965 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212922 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,784 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130892 | lrm: 1.00 | dt: 184ms | tok/sec: 1,427,051 | mfu: 34.5% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.058156 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,361 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991156 | lrm: 1.00 | dt: 202ms | tok/sec: 1,296,645 | mfu: 31.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931974 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,116 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874975 | lrm: 1.00 | dt: 175ms | tok/sec: 1,500,439 | mfu: 36.3% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824912 | lrm: 1.00 | dt: 164ms | tok/sec: 1,595,532 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.777764 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,217 | mfu: 32.9% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.733406 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,767 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.693321 | lrm: 1.00 | dt: 181ms | tok/sec: 1,444,684 | mfu: 34.9% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658341 | lrm: 1.00 | dt: 168ms | tok/sec: 1,559,004 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624357 | lrm: 1.00 | dt: 185ms | tok/sec: 1,414,537 | mfu: 34.2% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.592673 | lrm: 1.00 | dt: 161ms | tok/sec: 1,628,334 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.560576 | lrm: 1.00 | dt: 166ms | tok/sec: 1,575,897 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.529568 | lrm: 1.00 | dt: 175ms | tok/sec: 1,494,283 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.499402 | lrm: 1.00 | dt: 204ms | tok/sec: 1,286,369 | mfu: 31.1% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.472954 | lrm: 1.00 | dt: 170ms | tok/sec: 1,538,372 | mfu: 37.2% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.446350 | lrm: 1.00 | dt: 185ms | tok/sec: 1,420,671 | mfu: 34.3% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.416591 | lrm: 1.00 | dt: 172ms | tok/sec: 1,522,437 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00031 (1.2%) | loss: 5.390313 | lrm: 1.00 | dt: 189ms | tok/sec: 1,388,389 | mfu: 33.5% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.365228 | lrm: 1.00 | dt: 161ms | tok/sec: 1,627,156 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00033 (1.3%) | loss: 5.340566 | lrm: 1.00 | dt: 167ms | tok/sec: 1,565,490 | mfu: 37.8% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 5.314773 | lrm: 1.00 | dt: 185ms | tok/sec: 1,413,399 | mfu: 34.1% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.287974 | lrm: 1.00 | dt: 160ms | tok/sec: 1,643,431 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00036 (1.5%) | loss: 5.261779 | lrm: 1.00 | dt: 177ms | tok/sec: 1,480,269 | mfu: 35.8% | epoch: 1 | remaining: 295s    
step 00037 (1.5%) | loss: 5.236701 | lrm: 1.00 | dt: 168ms | tok/sec: 1,563,667 | mfu: 37.8% | epoch: 1 | remaining: 295s    
step 00038 (1.6%) | loss: 5.210084 | lrm: 1.00 | dt: 232ms | tok/sec: 1,130,068 | mfu: 27.3% | epoch: 1 | remaining: 295s    
step 00039 (1.6%) | loss: 5.184204 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,171 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00040 (1.7%) | loss: 5.162174 | lrm: 1.00 | dt: 180ms | tok/sec: 1,458,176 | mfu: 35.2% | epoch: 1 | remaining: 295s    
step 00041 (1.8%) | loss: 5.136535 | lrm: 1.00 | dt: 159ms | tok/sec: 1,649,682 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00042 (1.8%) | loss: 5.113738 | lrm: 1.00 | dt: 168ms | tok/sec: 1,560,161 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00043 (1.9%) | loss: 5.087085 | lrm: 1.00 | dt: 225ms | tok/sec: 1,167,285 | mfu: 28.2% | epoch: 1 | remaining: 294s    
step 00044 (1.9%) | loss: 5.063000 | lrm: 1.00 | dt: 186ms | tok/sec: 1,406,433 | mfu: 34.0% | epoch: 1 | remaining: 294s    
